,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,community_id
0,JF138367,02/08/2022 08:00:00 PM,073XX S SEELEY AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,N,N,735,17.0,03,1163965,1855925,41.76028009,-87.674629385,"(41.76028009, -87.674629385)",67
1,JE459959,11/29/2021 08:25:00 AM,018XX S KEDZIE AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,OTHER (SPECIFY),N,N,1022,24.0,05,1155320,1890793,41.856139886,-87.705380034,"(41.856139886, -87.705380034)",29
2,JE461005,11/30/2021 08:15:00 AM,049XX W FERDINAND ST,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,N,N,1532,37.0,04B,1143374,1902879,41.889536768,-87.74892636,"(41.889536768, -87.74892636)",25
3,JE462362,11/30/2021 09:00:00 AM,065XX S MARSHFIELD AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,725,15.0,08A,1166448,1861413,41.775287356,-87.66537291,"(41.775287356, -87.66537291)",67
4,JE363015,09/05/2021 10:53:00 PM,033XX W POTOMAC AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,N,N,1422,26.0,15,1153905,1908453,41.904629027,-87.71010311,"(41.904629027, -87.71010311)",23
5,JE362421,09/05/2021 12:07:00 PM,078XX S SANGAMON ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,N,Y,621,17.0,04A,1171335,1852826,41.751617999000004,-87.64770869200001,"(41.751617999, -87.647708692)",71
6,JE188589,04/03/2021 04:30:00 PM,093XX S EGGLESTON AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,N,N,2223,21.0,04B,1174930,1842998,41.724569325,-87.634827069,"(41.724569325, -87.634827069)",73
7,JE181285,03/26/2021 05:30:00 PM,016XX N WASHTENAW AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,Y,N,1421,1.0,07,1158120,1910764,41.910885524,-87.694556944,"(41.910885524, -87.694556944)",24
8,JE464446,11/30/2021 02:55:00 PM,022XX W JACKSON BLVD,0560,ASSAULT,SIMPLE,SCHOOL - PUBLIC BUILDING,N,N,1225,27.0,08A,1161324,1898653,41.877585867,-87.683123746,"(41.877585867, -87.683123746)",28
9,JE461729,11/30/2021 05:29:00 PM,052XX S DREXEL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,233,5.0,08B,1183138,1870244,41.799148375,-87.603915236,"(41.799148375, -87.603915236)",41
10,JE461615,11/30/2021 02:00:00 PM,040XX N KEYSTONE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,N,Y,1722,39.0,26,1148566,1926636,41.95462957,-87.729244355,"(41.95462957, -87.729244355)",16
11,JE362634,09/05/2021 03:40:00 PM,004XX S STATE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,Y,N,113,4.0,14,1176436,1898416,41.876607964,-87.62764406299999,"(41.876607964, -87.627644063)",32
12,JE190405,04/03/2021 11:00:00 PM,001XX W KINZIE ST,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,N,N,1831,42.0,06,1174955,1902986,41.8891816,-87.63294482299999,"(41.8891816, -87.632944823)",8
13,JE362352,09/05/2021 10:30:00 AM,082XX S JUSTINE ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,N,Y,614,21.0,26,1167435,1850172,41.744419445,-87.662076236,"(41.744419445, -87.662076236)",71
14,JE188536,04/03/2021 06:30:00 PM,110XX S LOWE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,2233,34.0,14,1173944,1831616,41.693357357,-87.63877505100001,"(41.693357357, -87.638775051)",49
15,JF105245,01/03/2022 12:00:00 AM,042XX W DIVISION ST,0820,THEFT,$500 AND UNDER,STREET,N,N,1111,37.0,06,1147829,1907660,41.902571918,-87.732442585,"(41.902571918, -87.732442585)",23
16,JE462302,11/30/2021 11:00:00 AM,010XX N WESTERN AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1212,1.0,06,1160222,1906734,41.89978367,-87.686946492,"(41.89978367, -87.686946492)",24
17,JE431146,11/01/2021 05:30:00 PM,014XX E 79TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,N,N,411,8.0,14,1187313,1852899,41.751454001,-87.589155158,"(41.751454001, -87.589155158)",45
18,JE220685,05/05/2021 08:00:00 AM,016XX E 68TH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,332,5.0,11,1188490,1860221,41.771518196,-87.58460854399999,"(41.771518196, -87.584608544)",43
19,JF137724,02/08/2022 12:00:00 PM,062XX S CAMPBELL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,825,16.0,14,1160774,1863263,41.780483067,-87.686122155,"(41.780483067, -87.686122155)",66
20,JE188279,04/03/2021 02:40:00 PM,031XX N AVONDALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ATHLETIC CLUB,N,N,1411,33.0,14,1154989,1920404,41.937401863000005,-87.705800003,"(41.937401863, -87.705800003)",21
21,JE364639,09/05/2021 03:00:00 AM,054XX W FULLERTON AVE,0460,BATTERY,SIMPLE,TAVERN / LIQUOR STORE,N,N,2515,30.0,08B,1139781,1915426,41.924033587,-87.76181455,"(41.924033587, -87.76181455)",19
22,JE188519,04/03/2021 05:52:00 PM,049XX W SUPERIOR ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,1531,37.0,15,1143347,1904516,41.894029393000004,-87.748984575,"(41.894029393, -87.748984575)",25
