CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE464849,12/03/2021 09:00:00 AM,015XX S SPAULDING AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,N,N,1021,24,11,1154616,1892215,41.860056113,-87.707926066,"(41.860056113, -87.707926066)"
JE464498,12/03/2021 08:52:00 AM,0000X W TERMINAL ST,4860,OTHER OFFENSE,BOARD PLANE WITH WEAPON,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,Y,N,1651,41,26,1100317,1935229,41.979006297,-87.906463155,"(41.979006297, -87.906463155)"
JE464970,12/03/2021 04:07:00 PM,066XX S HOYNE AVE,0460,BATTERY,SIMPLE,SIDEWALK,N,N,726,16,08B,1163506,1860651,41.773258525,-87.676179302,"(41.773258525, -87.676179302)"
JE426789,10/29/2021 03:05:00 PM,055XX N CLARK ST,1310,CRIMINAL DAMAGE,TO PROPERTY,GROCERY FOOD STORE,N,N,2012,40,14,1165011,1936791,41.982161273,-87.668500261,"(41.982161273, -87.668500261)"
JE426778,10/29/2021 02:05:00 PM,049XX W BERENICE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,N,N,1634,45,15,1142682,1925136,41.950625212,-87.750912583,"(41.950625212, -87.750912583)"
JE432180,10/26/2021 02:25:00 PM,055XX N CUMBERLAND AVE,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,N,N,1614,41,06,1119315,1935821,41.980349758,-87.836582213,"(41.980349758, -87.836582213)"
JE426506,10/29/2021 11:14:00 AM,066XX S GREENWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,321,5,08B,1184361,1861222,41.774362673,-87.599712565,"(41.774362673, -87.599712565)"
JE426590,10/29/2021 12:51:00 PM,040XX W WILCOX ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1115,28,14,1149502,1899030,41.878857958,-87.726521499,"(41.878857958, -87.726521499)"
JE485950,12/15/2021 04:15:00 PM,032XX W GRAND AVE,0810,THEFT,OVER $500,STREET,N,N,1121,26,06,1154544,1906323,41.898771348,-87.707812918,"(41.898771348, -87.707812918)"
JE440417,11/06/2021 12:00:00 PM,065XX S ST LAWRENCE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,N,N,321,20,11,1181360,1861731,41.775829142,-87.610697909,"(41.775829142, -87.610697909)"
