CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JF151370,02/21/2022 09:00:00 AM,072XX S WABASH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,323,6,14,1177977,1856984,41.762880201,-87.623243251,"(41.762880201, -87.623243251)"
JE478782,12/10/2021 04:28:00 PM,053XX S HYDE PARK BLVD,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,N,Y,234,5,17,1188558,1870229,41.798979286,-87.584039582,"(41.798979286, -87.584039582)"
JF115820,01/17/2022 04:32:00 PM,010XX W WILSON AVE,0560,ASSAULT,SIMPLE,RESTAURANT,N,N,1914,46,08A,1168668,1930721,41.965426344,-87.655227542,"(41.965426344, -87.655227542)"
JF116701,01/17/2022 10:00:00 PM,022XX W WELLINGTON AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,1931,32,06,1160873,1919885,41.935857468,-87.684189738,"(41.935857468, -87.684189738)"
JE218095,05/03/2021 10:45:00 AM,042XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,SIDEWALK,N,N,1624,45,08B,1142492,1927548,41.957247495,-87.751550827,"(41.957247495, -87.751550827)"
JF149288,02/19/2022 08:00:00 AM,052XX W ROSCOE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1634,31,08B,1140891,1922105,41.942341068,-87.757571099,"(41.942341068, -87.757571099)"
JF151392,02/21/2022 09:00:00 AM,053XX W FOSTER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1623,45,14,1139783,1934066,41.975183493,-87.761350113,"(41.975183493, -87.761350113)"
JF150992,02/21/2022 02:00:00 AM,002XX W ONTARIO ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,N,N,1831,42,08B,1174494,1904440,41.89318177,-87.6345943,"(41.89318177, -87.6345943)"
JE218545,05/03/2021 09:43:00 AM,009XX W IRVING PARK RD,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1923,46,14,1169204,1926746,41.954507152,-87.653372774,"(41.954507152, -87.653372774)"
JF151982,02/21/2022 10:41:00 PM,003XX S SACRAMENTO BLVD,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,N,N,1124,28,26,1156434,1898301,41.876720197,-87.701088107,"(41.876720197, -87.701088107)"
JF152415,02/21/2022 10:00:00 PM,052XX S CHRISTIANA AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE - GARAGE,N,N,822,14,14,1154930,1869740,41.7983756,-87.707374574,"(41.7983756, -87.707374574)"
JF169594,03/09/2022 01:38:00 PM,011XX S CLARK ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,123,4,06,1175696,1895352,41.86821682,-87.6304532,"(41.86821682, -87.6304532)"
JE218338,05/03/2021 01:19:00 PM,005XX N AVERS AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,N,Y,1122,27,20,1150626,1903338,41.89065769,-87.722281719,"(41.89065769, -87.722281719)"
JE168478,03/14/2021 04:00:00 AM,027XX W JACKSON BLVD,0560,ASSAULT,SIMPLE,APARTMENT,N,N,1125,27,08A,1158224,1898582,41.877454917,-87.69450809,"(41.877454917, -87.69450809)"
