CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE362576,09/05/2021 02:47:00 PM,102XX S VERNON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,511,9,14,1181052,1837198,41.708514886,-87.61258026,"(41.708514886, -87.61258026)"
JE364188,09/07/2021 01:00:00 AM,033XX W MAYPOLE AVE,0560,ASSAULT,SIMPLE,SIDEWALK,Y,N,1123,28,08A,1154061,1900783,41.883578698,-87.709734846,"(41.883578698, -87.709734846)"
JE364232,09/07/2021 02:26:00 AM,062XX S UNION AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,N,N,711,16,14,1172637,1863365,41.780509717,-87.642627358,"(41.780509717, -87.642627358)"
JE369345,08/14/2021 06:20:00 AM,0000X W TERMINAL ST,0890,THEFT,FROM BUILDING,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,N,N,1651,41,06,1100317,1935229,41.979006297,-87.906463155,"(41.979006297, -87.906463155)"
JE364509,09/07/2021 10:45:00 AM,014XX S SAWYER AVE,0460,BATTERY,SIMPLE,SIDEWALK,N,N,1022,24,08B,1154927,1892961,41.862096997,-87.706764478,"(41.862096997, -87.706764478)"
JE365329,09/07/2021 09:00:00 PM,076XX S KINGSTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,421,7,14,1194518,1854871,41.756691279,-87.562688058,"(41.756691279, -87.562688058)"
JE363877,09/06/2021 05:00:00 PM,052XX N RIVERS EDGE TER,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,1712,39,05,1147379,1934512,41.976264775,-87.733405264,"(41.976264775, -87.733405264)"
JE364724,09/07/2021 01:00:00 PM,071XX S ASHLAND AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,N,N,735,17,04B,1166923,1857200,41.763716195,-87.663751852,"(41.763716195, -87.663751852)"
JE365260,09/07/2021 07:26:00 PM,002XX N CENTRAL AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,Y,N,1523,37,15,1139002,1901130,41.884817876,-87.765024958,"(41.884817876, -87.765024958)"
JE369488,09/04/2021 05:00:00 PM,069XX N KEDZIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2411,50,14,1153857,1945811,42.007142825,-87.709280128,"(42.007142825, -87.709280128)"
JE365174,09/07/2021 06:23:00 PM,012XX W 73RD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,734,17,08B,1169069,1856369,41.761389713,-87.655910277,"(41.761389713, -87.655910277)"
JE365077,09/07/2021 05:14:00 PM,030XX N NORMANDY AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,2511,36,04A,1131225,1919434,41.935184198,-87.793160509,"(41.935184198, -87.793160509)"
JE317040,07/27/2021 04:30:00 PM,005XX E 43RD ST,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",STREET,N,Y,214,4,04B,1180550,1876618,41.816699033,-87.613210093,"(41.816699033, -87.613210093)"
JE364598,09/07/2021 11:25:00 AM,065XX S LOWE AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,N,723,20,08A,1173163,1861518,41.775429728,-87.640753492,"(41.775429728, -87.640753492)"
JE365400,09/07/2021 10:35:00 PM,114XX S YALE AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,RESIDENCE,N,Y,522,34,04B,1176656,1829078,41.686332268,-87.628921856,"(41.686332268, -87.628921856)"
JE462030,11/28/2021 02:00:00 PM,020XX N CLARK ST,0460,BATTERY,SIMPLE,APARTMENT,N,N,1814,43,08B,1173852,1913957,41.919311217,-87.636668238,"(41.919311217, -87.636668238)"
JE316146,07/27/2021 02:50:00 PM,059XX W ERIE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,1511,29,14,1136737,1903696,41.891900175,-87.773281015,"(41.891900175, -87.773281015)"
