CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE197698,04/12/2021 08:21:00 PM,005XX S STATE ST,0860,THEFT,RETAIL THEFT,DRUG STORE,Y,N,123,4,06,1176447,1897923,41.875254895,-87.627618559,"(41.875254895, -87.627618559)"
JE197436,04/12/2021 04:36:00 PM,004XX S KOSTNER AVE,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,Y,N,1131,28,26,1147129,1897553,41.874850606,-87.735272577,"(41.874850606, -87.735272577)"
JE478276,12/15/2021 09:00:00 AM,020XX N WINCHESTER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1432,32,14,1163034,1913587,41.918530187,-87.676425227,"(41.918530187, -87.676425227)"
JE197686,04/12/2021 08:47:00 PM,037XX W LAKE ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,N,N,1122,28,04B,1151504,1901318,41.885097397,-87.719110354,"(41.885097397, -87.719110354)"
JE197226,04/12/2021 12:45:00 PM,012XX N HARDING AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,Y,N,2535,37,26,1149821,1908059,41.903628292,-87.725115181,"(41.903628292, -87.725115181)"
JE272410,06/19/2021 09:20:00 PM,028XX W 71ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,831,18,08B,1158709,1857432,41.764524352,-87.693851809,"(41.764524352, -87.693851809)"
JE197612,04/12/2021 07:00:00 PM,005XX E 33RD ST,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,N,Y,211,4,04A,1180360,1883173,41.834690813,-87.613705645,"(41.834690813, -87.613705645)"
JE196765,04/12/2021 01:48:00 AM,006XX E 112TH ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE,Y,N,531,9,04B,1182436,1830823,41.690989146,-87.607708682,"(41.690989146, -87.607708682)"
JE318909,07/29/2021 05:40:00 PM,008XX E 49TH ST,0560,ASSAULT,SIMPLE,STREET,N,N,223,4,08A,1182821,1872706,41.805911678,-87.605001232,"(41.805911678, -87.605001232)"
JE318238,07/29/2021 09:44:00 AM,061XX S CAMPBELL AVE,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,N,N,825,16,04B,1160755,1863948,41.782363194,-87.686172912,"(41.782363194, -87.686172912)"
JE197701,04/12/2021 06:58:00 PM,033XX S ABERDEEN ST,0560,ASSAULT,SIMPLE,APARTMENT,N,N,913,11,08A,1169527,1882657,41.833517022,-87.653469658,"(41.833517022, -87.653469658)"
JE197976,04/12/2021 11:00:00 PM,016XX W HURON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1215,1,14,1165303,1904752,41.894238351,-87.668340399,"(41.894238351, -87.668340399)"
JE197691,04/12/2021 08:37:00 PM,007XX E 47TH ST,0560,ASSAULT,SIMPLE,RESTAURANT,N,N,221,4,08A,1181804,1874006,41.809502571,-87.608690964,"(41.809502571, -87.608690964)"
JE197184,04/12/2021 01:09:00 PM,076XX S HOMAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,SCHOOL - PUBLIC BUILDING,N,N,835,18,14,1155024,1853614,41.754121535,-87.707460248,"(41.754121535, -87.707460248)"
JE197115,04/12/2021 12:00:00 PM,076XX S CICERO AVE,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,N,N,833,18,08A,1145727,1853720,41.754592961,-87.741528537,"(41.754592961, -87.741528537)"
JE198245,04/12/2021 09:20:00 PM,046XX N SHERIDAN RD,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,N,N,1914,46,04A,1168782,1931175,41.966669657,-87.654795172,"(41.966669657, -87.654795172)"
JE197061,04/12/2021 11:00:00 AM,068XX S SANGAMON ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,N,N,723,6,04B,1171154,1859576,41.770144808,-87.648174955,"(41.770144808, -87.648174955)"
JE230503,05/14/2021 03:15:00 PM,033XX W CERMAK RD,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,1024,24,04A,1154478,1889179,41.851727741,-87.708513726,"(41.851727741, -87.708513726)"
JE197264,04/12/2021 01:40:00 PM,059XX W DIVISION ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,2531,29,15,1136660,1907385,41.902024637,-87.773475398,"(41.902024637, -87.773475398)"
JE197368,04/12/2021 03:42:00 PM,044XX W ADAMS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1113,28,08B,1146769,1898642,41.877845827,-87.736566559,"(41.877845827, -87.736566559)"
JE230151,05/14/2021 05:00:00 PM,026XX W LE MOYNE ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,N,N,1423,1,11,1158673,1909876,41.908437462,-87.692549785,"(41.908437462, -87.692549785)"
JE197643,04/12/2021 07:28:00 PM,041XX S CALIFORNIA AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,921,12,15,1158377,1877200,41.818777228,-87.694530312,"(41.818777228, -87.694530312)"
JE197801,04/12/2021 05:30:00 PM,082XX S COLFAX AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,423,7,14,1194940,1850789,41.745479568,-87.561275775,"(41.745479568, -87.561275775)"
JE214900,04/29/2021 11:00:00 PM,060XX S RICHMOND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,823,16,08B,1157747,1864534,41.784032857,-87.69718527,"(41.784032857, -87.69718527)"
JE261035,06/09/2021 12:00:00 AM,028XX N KOSTNER AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,2523,31,11,1146562,1918501,41.932344954,-87.736819559,"(41.932344954, -87.736819559)"
JE197373,04/12/2021 01:00:00 PM,016XX W BEACH AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,1433,2,11,1165231,1909619,41.907595274,-87.668466299,"(41.907595274, -87.668466299)"
JE318526,07/29/2021 11:56:00 AM,041XX W POTOMAC AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,SIDEWALK,Y,N,2534,37,18,1148610,1908341,41.904425604,-87.729556209,"(41.904425604, -87.729556209)"
JE272279,06/19/2021 07:04:00 PM,022XX W 79TH PL,0560,ASSAULT,SIMPLE,STREET,N,N,835,18,08A,1162728,1851895,41.749247081,-87.679275327,"(41.749247081, -87.679275327)"
JE199196,04/12/2021 12:00:00 PM,012XX N MONITOR AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,2531,29,14,1137128,1907685,41.90283948,-87.771749128,"(41.90283948, -87.771749128)"
JF161337,03/02/2022 06:30:00 PM,012XX N LARRABEE ST,0820,THEFT,$500 AND UNDER,DEPARTMENT STORE,N,N,1822,27,06,1172111,1908362,41.903996883,-87.643230238,"(41.903996883, -87.643230238)"
JE197440,04/12/2021 04:30:00 PM,024XX E 106TH ST,0558,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,CHA PARKING LOT / GROUNDS,N,N,434,7,04A,1194129,1835204,41.702732808,-87.564757215,"(41.702732808, -87.564757215)"
JE197224,04/12/2021 10:34:00 AM,076XX S KINGSTON AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,421,7,08A,1194518,1854871,41.756691279,-87.562688058,"(41.756691279, -87.562688058)"
JE197421,04/12/2021 12:30:00 PM,022XX E 70TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,Y,331,5,05,1192200,1858983,41.768031597,-87.571049401,"(41.768031597, -87.571049401)"
JE197483,04/12/2021 05:05:00 PM,069XX S ASHLAND AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,VEHICLE - COMMERCIAL,N,N,735,17,04B,1166878,1858728,41.767910191,-87.663873198,"(41.767910191, -87.663873198)"
JE260523,06/09/2021 06:20:00 PM,040XX S STATE ST,1570,SEX OFFENSE,PUBLIC INDECENCY,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,213,3,17,1176946,1878189,41.821092112,-87.626382913,"(41.821092112, -87.626382913)"
JE197137,04/12/2021 12:00:00 PM,015XX W 72ND ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,734,17,08B,1167223,1856980,41.763106072,-87.662658572,"(41.763106072, -87.662658572)"
JE199416,04/12/2021 12:00:00 PM,044XX S CALUMET AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,AUTO / BOAT / RV DEALERSHIP,N,N,215,3,11,1179177,1875581,41.813884884,-87.618278194,"(41.813884884, -87.618278194)"
JE214485,04/29/2021 11:12:00 PM,040XX W GRAND AVE,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,Y,N,2534,26,26,1149442,1908989,41.906187671,-87.72648318,"(41.906187671, -87.72648318)"
JE197356,04/12/2021 01:45:00 PM,071XX S CALUMET AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,N,N,323,6,04A,1179713,1857804,41.765090867,-87.616855532,"(41.765090867, -87.616855532)"
JE262178,06/09/2021 12:00:00 AM,055XX N SPAULDING AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,1712,39,08A,1153382,1936697,41.982143053,-87.711271335,"(41.982143053, -87.711271335)"
JE219222,03/31/2021 12:30:00 PM,018XX S INDIANA AVE,0560,ASSAULT,SIMPLE,PARK PROPERTY,N,N,132,3,08A,1177942,1891495,41.857582212,-87.622325051,"(41.857582212, -87.622325051)"
JF160864,03/02/2022 12:18:00 PM,048XX W FERDINAND ST,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLIC WAY,STREET,Y,N,1532,28,18,1143917,1902890,41.889556788,-87.746931935,"(41.889556788, -87.746931935)"
JE197354,04/12/2021 03:23:00 PM,016XX N PULASKI RD,0313,ROBBERY,ARMED - OTHER DANGEROUS WEAPON,DRUG STORE,N,N,2535,26,03,1149466,1910591,41.91058325,-87.726353375,"(41.91058325, -87.726353375)"
