,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,community_id
0,JF151370,02/21/2022 09:00:00 AM,072XX S WABASH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,323,6.0,14,1177977,1856984,41.762880201,-87.623243251,"(41.762880201, -87.623243251)",69
1,JE478782,12/10/2021 04:28:00 PM,053XX S HYDE PARK BLVD,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,N,Y,234,5.0,17,1188558,1870229,41.798979286,-87.584039582,"(41.798979286, -87.584039582)",41
2,JF115820,01/17/2022 04:32:00 PM,010XX W WILSON AVE,0560,ASSAULT,SIMPLE,RESTAURANT,N,N,1914,46.0,08A,1168668,1930721,41.965426344,-87.655227542,"(41.965426344, -87.655227542)",3
3,JF116701,01/17/2022 10:00:00 PM,022XX W WELLINGTON AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,1931,32.0,06,1160873,1919885,41.935857468,-87.68418973799999,"(41.935857468, -87.684189738)",5
4,JE218095,05/03/2021 10:45:00 AM,042XX N MILWAUKEE AVE,0460,BATTERY,SIMPLE,SIDEWALK,N,N,1624,45.0,08B,1142492,1927548,41.957247495,-87.751550827,"(41.957247495, -87.751550827)",15
5,JF149288,02/19/2022 08:00:00 AM,052XX W ROSCOE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1634,31.0,08B,1140891,1922105,41.942341068000005,-87.75757109899999,"(41.942341068, -87.757571099)",15
6,JF151392,02/21/2022 09:00:00 AM,053XX W FOSTER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1623,45.0,14,1139783,1934066,41.975183493,-87.76135011299999,"(41.975183493, -87.761350113)",11
7,JF150992,02/21/2022 02:00:00 AM,002XX W ONTARIO ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,N,N,1831,42.0,08B,1174494,1904440,41.89318177,-87.6345943,"(41.89318177, -87.6345943)",8
8,JE218545,05/03/2021 09:43:00 AM,009XX W IRVING PARK RD,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1923,46.0,14,1169204,1926746,41.954507152,-87.65337277399999,"(41.954507152, -87.653372774)",3
9,JF151982,02/21/2022 10:41:00 PM,003XX S SACRAMENTO BLVD,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,N,N,1124,28.0,26,1156434,1898301,41.876720197,-87.701088107,"(41.876720197, -87.701088107)",27
