,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,community_id
0,JE473205,12/10/2021 08:45:00 PM,041XX N CUMBERLAND AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,1614,38.0,05,1119340.0,1926431.0,41.954582068,-87.836690448,"(41.954582068, -87.836690448)",17
1,JE473383,12/10/2021 06:00:00 PM,068XX S TRIPP AVE,0560,ASSAULT,SIMPLE,RESIDENCE,Y,Y,833,13.0,08A,1149217.0,1858865.0,41.768645123,-87.72860599799999,"(41.768645123, -87.728605998)",65
2,JF122255,01/24/2022 03:15:00 AM,119XX S MICHIGAN AVE,051B,ASSAULT,AGGRAVATED - OTHER FIREARM,STREET,N,N,532,9.0,04A,1178981.0,1825999.0,41.677830551999996,-87.62050376200001,"(41.677830552, -87.620503762)",53
3,JE473027,12/10/2021 06:25:00 PM,056XX S MEADE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,811,13.0,08B,1136672.0,1866574.0,41.790032871,-87.774406935,"(41.790032871, -87.774406935)",56
4,JE473256,12/10/2021 10:22:00 PM,023XX N MEADE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,N,N,2512,36.0,14,1135352.0,1914817.0,41.92244227,-87.77810322399999,"(41.92244227, -87.778103224)",19
5,JF123205,01/24/2022 11:00:00 PM,081XX S WOOD ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,614,17.0,08B,1165767.0,1850610.0,41.745656924,-87.668175596,"(41.745656924, -87.668175596)",71
6,JE488099,12/24/2021 07:39:00 PM,018XX W MONTEREY AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,N,Y,2212,19.0,04A,1166091.0,1830696.0,41.691002891,-87.66755267399999,"(41.691002891, -87.667552674)",75
7,JE458439,11/27/2021 03:05:00 PM,012XX N MILWAUKEE AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,SMALL RETAIL STORE,N,N,1424,1.0,03,1165323.0,1908468.0,41.904434895,-87.668161129,"(41.904434895, -87.668161129)",24
8,JE458412,11/27/2021 02:30:00 PM,015XX S HAMLIN AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,SIDEWALK,Y,N,1014,24.0,15,1151297.0,1892141.0,41.859918745,-87.72011125200001,"(41.859918745, -87.720111252)",29
9,JE458658,11/27/2021 07:00:00 PM,015XX S DRAKE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,1021,24.0,05,1152955.0,1892239.0,41.860155012,-87.714022555,"(41.860155012, -87.714022555)",29
10,JE458187,11/27/2021 07:00:00 AM,072XX S DOBSON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,324,5.0,14,1184475.0,1857230.0,41.763405583,-87.599419537,"(41.763405583, -87.599419537)",69
11,JE472558,12/10/2021 11:00:00 AM,058XX N LINCOLN AVE,0560,ASSAULT,SIMPLE,SCHOOL - PUBLIC GROUNDS,N,N,2011,40.0,08A,1155809.0,1938617.0,41.987362911999995,-87.70229340200001,"(41.987362912, -87.702293402)",2
12,JF123077,01/24/2022 05:30:00 PM,072XX N SHERIDAN RD,0460,BATTERY,SIMPLE,NURSING / RETIREMENT HOME,N,N,2423,49.0,08B,1166254.0,1948079.0,42.013109225,-87.663604147,"(42.013109225, -87.663604147)",1
13,JF122412,01/24/2022 08:00:00 AM,002XX W 108TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,513,34.0,08B,1176586.0,1832990.0,41.697068947,-87.62906102299999,"(41.697068947, -87.629061023)",49
14,JF123057,01/24/2022 07:09:00 PM,046XX W DIVERSEY AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,2521,31.0,06,1144951.0,1918212.0,41.931582515,-87.742747165,"(41.931582515, -87.742747165)",19
15,JF123206,01/24/2022 10:22:00 PM,047XX S WESTERN AVE,0860,THEFT,RETAIL THEFT,DRUG STORE,N,N,922,15.0,06,1161164.0,1873304.0,41.808028819,-87.684414463,"(41.808028819, -87.684414463)",58
16,JE478288,12/10/2021 03:50:00 PM,051XX W MADISON ST,0560,ASSAULT,SIMPLE,GAS STATION,N,N,1533,28.0,08A,1142299.0,1899542.0,41.880399655,-87.752957146,"(41.880399655, -87.752957146)",25
17,JE394400,10/01/2021 11:33:00 AM,006XX N ASHLAND AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,N,N,1215,1.0,07,1165609.0,1904580.0,41.893759857,-87.66722146299999,"(41.893759857, -87.667221463)",24
18,JF122659,01/24/2022 12:27:00 PM,026XX S CENTRAL PARK AVE,0460,BATTERY,SIMPLE,ALLEY,N,N,1032,22.0,08B,1152797.0,1886188.0,41.843553473,-87.71476253799999,"(41.843553473, -87.714762538)",30
19,JF122269,01/24/2022 05:02:00 AM,040XX W WILCOX ST,0810,THEFT,OVER $500,APARTMENT,N,Y,1115,28.0,06,1149536.0,1899031.0,41.878860042,-87.726396631,"(41.878860042, -87.726396631)",26
20,JE472492,12/10/2021 09:45:00 AM,022XX W JACKSON BLVD,0460,BATTERY,SIMPLE,SCHOOL - PUBLIC BUILDING,N,N,1225,27.0,08B,1161324.0,1898653.0,41.877585867,-87.683123746,"(41.877585867, -87.683123746)",28
21,JE473221,12/10/2021 09:00:00 PM,020XX W HUTCHINSON ST,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,N,N,1911,47.0,03,1162020.0,1928219.0,41.958702511,-87.679740871,"(41.958702511, -87.679740871)",5
22,JF123124,01/24/2022 07:21:00 PM,013XX W WILSON AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,N,1913,46.0,26,1166469.0,1930665.0,41.965320149,-87.66331434700001,"(41.965320149, -87.663314347)",3
23,JF122853,01/24/2022 12:00:00 AM,028XX W BERWYN AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,N,Y,2011,40.0,08B,1156421.0,1935077.0,41.977636584,-87.700138688,"(41.977636584, -87.700138688)",4
