CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE345985,08/22/2021 11:30:00 AM,065XX N CLARK ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,N,N,2432,40,14,1164103,1943683,42.001092412,-87.671643792,"(42.001092412, -87.671643792)"
JE361511,09/04/2021 01:00:00 PM,047XX S DR MARTIN LUTHER KING JR DR,0820,THEFT,$500 AND UNDER,STREET,N,N,224,3,06,1179656,1873779,41.808929094,-87.616576329,"(41.808929094, -87.616576329)"
JE361383,09/04/2021 12:40:00 PM,049XX N KENMORE AVE,0560,ASSAULT,SIMPLE,RESIDENCE - PORCH / HALLWAY,N,N,2024,48,08A,1168355,1933247,41.972364558,-87.656304974,"(41.972364558, -87.656304974)"
JE388425,09/26/2021 10:06:00 PM,082XX S MARYLAND AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,631,8,15,1183339,1850534,41.74505759,-87.603791266,"(41.74505759, -87.603791266)"
JE388471,09/26/2021 11:35:00 PM,014XX E 55TH PL,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,N,N,235,5,03,1187016,1868693,41.794801134,-87.589743088,"(41.794801134, -87.589743088)"
JE388802,09/26/2021 04:30:00 PM,016XX N OAK PARK AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - GARAGE,N,N,2513,29,06,1130832,1910226,41.909923091,-87.79481734,"(41.909923091, -87.79481734)"
JE387489,09/26/2021 12:44:00 AM,004XX E LOWER WACKER DR,0460,BATTERY,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,114,42,08B,1179263,1902486,41.887711996,-87.617139647,"(41.887711996, -87.617139647)"
JF103979,01/04/2022 03:00:00 PM,065XX S FRANCISCO AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,N,N,831,17,05,1158173,1861122,41.774661178,-87.69571614,"(41.774661178, -87.69571614)"
JE388383,09/26/2021 09:24:00 PM,052XX N WAYNE AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,Y,N,2013,48,26,1166366,1934887,41.976907672,-87.663571695,"(41.976907672, -87.663571695)"
JE387808,09/26/2021 11:24:00 AM,055XX W JACKSON BLVD,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,N,Y,1522,29,04A,1139453,1898121,41.876552583,-87.763442166,"(41.876552583, -87.763442166)"
JE390061,09/26/2021 07:00:00 AM,036XX W CONGRESS PKWY,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1133,28,14,1152020,1897458,41.874494994,-87.717317244,"(41.874494994, -87.717317244)"
JE437981,09/29/2021 12:35:00 PM,052XX S TROY ST,0810,THEFT,OVER $500,RESIDENCE,N,N,923,14,06,1156267,1869693,41.798219804,-87.702472757,"(41.798219804, -87.702472757)"
JE388166,09/26/2021 05:27:00 PM,024XX W 51ST ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,923,14,06,1161020,1870793,41.801141301,-87.685012091,"(41.801141301, -87.685012091)"
JE389246,09/26/2021 01:00:00 AM,012XX S WASHTENAW AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1023,28,14,1158565,1894166,41.865330006,-87.693376913,"(41.865330006, -87.693376913)"
JE389391,09/26/2021 12:00:00 AM,071XX S MILLARD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,N,N,833,13,14,1153270,1857007,41.763467316,-87.713798606,"(41.763467316, -87.713798606)"
JE388136,09/26/2021 04:47:00 PM,069XX S MAY ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,733,6,15,1169847,1858878,41.768257881,-87.652986108,"(41.768257881, -87.652986108)"
JE390917,09/26/2021 12:59:00 AM,0000X W HUBBARD ST,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,BAR OR TAVERN,Y,N,1831,42,22,1176050,1903312,41.890051565,-87.62891376,"(41.890051565, -87.62891376)"
JE389987,09/26/2021 11:30:00 AM,006XX W OAK ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1822,27,14,1171776,1906846,41.899844282,-87.64450548,"(41.899844282, -87.64450548)"
JE387623,09/26/2021 05:29:00 AM,0000X W KINZIE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,SIDEWALK,Y,N,1831,42,14,1176009,1903016,41.889240249,-87.62907325,"(41.889240249, -87.62907325)"
