,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,community_id
0,JE464849,12/03/2021 09:00:00 AM,015XX S SPAULDING AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,N,N,1021,24,11,1154616,1892215,41.860056113,-87.707926066,"(41.860056113, -87.707926066)",29
1,JE464498,12/03/2021 08:52:00 AM,0000X W TERMINAL ST,4860,OTHER OFFENSE,BOARD PLANE WITH WEAPON,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,Y,N,1651,41,26,1100317,1935229,41.979006297,-87.906463155,"(41.979006297, -87.906463155)",76
2,JE464970,12/03/2021 04:07:00 PM,066XX S HOYNE AVE,0460,BATTERY,SIMPLE,SIDEWALK,N,N,726,16,08B,1163506,1860651,41.773258525,-87.67617930200001,"(41.773258525, -87.676179302)",67
3,JE426789,10/29/2021 03:05:00 PM,055XX N CLARK ST,1310,CRIMINAL DAMAGE,TO PROPERTY,GROCERY FOOD STORE,N,N,2012,40,14,1165011,1936791,41.982161273,-87.668500261,"(41.982161273, -87.668500261)",77
4,JE426778,10/29/2021 02:05:00 PM,049XX W BERENICE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,N,N,1634,45,15,1142682,1925136,41.950625212,-87.75091258299999,"(41.950625212, -87.750912583)",15
5,JE432180,10/26/2021 02:25:00 PM,055XX N CUMBERLAND AVE,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,N,N,1614,41,06,1119315,1935821,41.980349758,-87.83658221299999,"(41.980349758, -87.836582213)",76
6,JE426506,10/29/2021 11:14:00 AM,066XX S GREENWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,321,5,08B,1184361,1861222,41.774362673,-87.599712565,"(41.774362673, -87.599712565)",42
7,JE426590,10/29/2021 12:51:00 PM,040XX W WILCOX ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1115,28,14,1149502,1899030,41.878857958000005,-87.726521499,"(41.878857958, -87.726521499)",26
8,JE485950,12/15/2021 04:15:00 PM,032XX W GRAND AVE,0810,THEFT,OVER $500,STREET,N,N,1121,26,06,1154544,1906323,41.898771348000004,-87.70781291799999,"(41.898771348, -87.707812918)",23
9,JE440417,11/06/2021 12:00:00 PM,065XX S ST LAWRENCE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,N,N,321,20,11,1181360,1861731,41.775829142,-87.610697909,"(41.775829142, -87.610697909)",42
10,JE481104,12/17/2021 06:51:00 PM,0000X S CLARK ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,COMMERCIAL / BUSINESS OFFICE,Y,Y,112,42,08B,1175543,1900196,41.881512491,-87.630869346,"(41.881512491, -87.630869346)",32
11,JE436455,11/06/2021 08:52:00 PM,028XX N CLYBOURN AVE,1330,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,N,N,1931,32,26,1162340,1918779,41.932791929000004,-87.67882943299999,"(41.932791929, -87.678829433)",5
12,JE481203,12/17/2021 06:30:00 PM,0000X E 11TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,123,4,07,1177126,1895753,41.869284939,-87.625191299,"(41.869284939, -87.625191299)",32
13,JE480201,12/17/2021 02:45:00 AM,114XX S INDIANA AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,N,531,9,06,1179611,1829249,41.686734701999995,-87.61809900700001,"(41.686734702, -87.618099007)",49
14,JE436847,11/06/2021 11:34:00 PM,054XX W MADISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,1522,29,08B,1139716,1899481,41.880279804000004,-87.762443285,"(41.880279804, -87.762443285)",25
15,JE481111,12/17/2021 07:14:00 PM,026XX S CHRISTIANA AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,N,N,1032,12,06,1154459,1886183,41.843506743,-87.708663447,"(41.843506743, -87.708663447)",30
16,JE481485,12/17/2021 08:00:00 PM,033XX N MARSHFIELD AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,1922,47,06,1164729,1922247,41.942257928000004,-87.669951491,"(41.942257928, -87.669951491)",6
17,JE314549,07/26/2021 09:30:00 AM,064XX N NORTHWEST HWY,0580,STALKING,SIMPLE,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,N,N,1611,41,08A,1126784,1942403,41.998289267,-87.808965094,"(41.998289267, -87.808965094)",9
18,JF103726,01/05/2022 02:20:00 AM,106XX S LAWNDALE AVE,033A,ROBBERY,ATTEMPT ARMED - HANDGUN,STREET,N,N,2211,19,03,1153562,1833853,41.699922892,-87.713339652,"(41.699922892, -87.713339652)",74
19,JE475391,12/12/2021 09:37:00 PM,042XX N MARINE DR,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1915,46,14,1170986,1928779,41.960046783,-87.646762046,"(41.960046783, -87.646762046)",3
