,CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION,community_id
0,JE282071,06/27/2021 09:24:00 AM,027XX S RIDGEWAY AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,N,N,1031,22.0,26,1151811,1885629,41.842038937,-87.718395664,"(41.842038937, -87.718395664)",30
1,JE286585,07/01/2021 08:31:00 PM,001XX W 114TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,Y,N,522,34.0,05,1177292,1829361,41.687094566999995,-87.62658508700001,"(41.687094567, -87.626585087)",49
2,JE305781,07/18/2021 04:10:00 PM,065XX S VERNON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,312,20.0,14,1180372,1861740,41.775876563000004,-87.61431951700001,"(41.775876563, -87.614319517)",42
3,JE398116,10/04/2021 05:35:00 PM,029XX N KOLMAR AVE,0560,ASSAULT,SIMPLE,STREET,N,N,2521,31.0,08A,1145542,1919242,41.934397739,-87.740549145,"(41.934397739, -87.740549145)",20
4,JF141326,02/10/2022 08:00:00 PM,022XX W IRVING PARK RD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1911,47.0,07,1160503,1926515,41.954058258,-87.685365323,"(41.954058258, -87.685365323)",5
5,JE306062,07/18/2021 09:40:00 PM,028XX W MARQUETTE RD,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,Y,N,831,17.0,18,1158770,1860091,41.771819797,-87.69355573200001,"(41.771819797, -87.693555732)",66
6,JE305675,07/18/2021 01:47:00 PM,066XX S KENWOOD AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,N,321,5.0,26,1186210,1861219,41.774310959,-87.592934641,"(41.774310959, -87.592934641)",42
7,JE305903,07/18/2021 05:44:00 PM,035XX N MILWAUKEE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,1731,30.0,04A,1147027,1923436,41.945878136,-87.734984141,"(41.945878136, -87.734984141)",16
8,JE305712,07/18/2021 02:35:00 PM,008XX N MICHIGAN AVE,1330,CRIMINAL TRESPASS,TO LAND,DEPARTMENT STORE,Y,N,1833,2.0,26,1177338,1906181,41.897895128,-87.624096605,"(41.897895128, -87.624096605)",8
9,JE293892,07/07/2021 06:20:00 PM,005XX N HAMLIN AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,APARTMENT,N,Y,1122,27.0,26,1150960,1903329,41.89062646,-87.721055336,"(41.89062646, -87.721055336)",23
10,JE294516,07/07/2021 10:00:00 PM,019XX N AUSTIN AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,N,N,2513,29.0,03,1136098,1912178,41.915187259,-87.775425225,"(41.915187259, -87.775425225)",25
11,JE293826,07/07/2021 06:38:00 PM,060XX N SHERIDAN RD,0460,BATTERY,SIMPLE,APARTMENT,N,N,2433,48.0,08B,1168537,1940249,41.99157427,-87.65543195299999,"(41.99157427, -87.655431953)",77
12,JE293342,07/07/2021 12:00:00 PM,032XX W MAYPOLE AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,N,N,1123,28.0,20,1154669,1900797,41.88360497,-87.707501835,"(41.88360497, -87.707501835)",27
13,JE293096,07/07/2021 08:30:00 AM,011XX W MONTANA ST,0810,THEFT,OVER $500,STREET,N,N,1932,43.0,06,1168355,1916455,41.926286625,-87.656792379,"(41.926286625, -87.656792379)",7
14,JE293731,07/07/2021 04:46:00 PM,078XX S PAULINA ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,Y,N,611,17.0,15,1166371,1852799,41.751651017,-87.665900202,"(41.751651017, -87.665900202)",71
15,JE305338,07/18/2021 12:00:00 AM,063XX S WENTWORTH AVE,0460,BATTERY,SIMPLE,ALLEY,N,N,312,20.0,08B,1176046,1863053,41.779577735,-87.63013878299999,"(41.779577735, -87.630138783)",68
16,JE305772,07/18/2021 04:10:00 PM,030XX S HALSTED ST,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,RESTAURANT,N,N,913,11.0,04A,1171463,1884712,41.839113859,-87.646305794,"(41.839113859, -87.646305794)",60
17,JE306093,07/18/2021 10:45:00 PM,056XX N KENMORE AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,N,N,2022,48.0,04A,1168231,1937605,41.984325716,-87.656634345,"(41.984325716, -87.656634345)",77
18,JE305139,07/18/2021 12:40:00 AM,039XX S MICHIGAN AVE,0810,THEFT,OVER $500,HOTEL / MOTEL,N,Y,213,3.0,06,1177806,1879008,41.823320055,-87.62320320299999,"(41.823320055, -87.623203203)",38
19,JE305994,07/18/2021 07:30:00 PM,023XX S DR MARTIN LUTHER KING JR DR,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,132,4.0,06,1178880,1889112,41.85102174,-87.618954852,"(41.85102174, -87.618954852)",33
20,JE305619,07/18/2021 03:00:00 AM,080XX S WABASH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,623,6.0,07,1178104,1851796,41.74864086,-87.62293479200001,"(41.74864086, -87.622934792)",44
21,JE478673,12/15/2021 06:40:00 PM,041XX W CULLOM AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,N,N,1722,39.0,15,1148322,1928263,41.959098898,-87.730099243,"(41.959098898, -87.730099243)",16
22,JE305633,07/18/2021 01:00:00 PM,006XX N HAMLIN AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,1122,27.0,08A,1150943,1903971,41.892388507,-87.721100945,"(41.892388507, -87.721100945)",23
23,JE305733,07/18/2021 11:00:00 AM,013XX N AVERS AVE,0820,THEFT,$500 AND UNDER,APARTMENT,N,Y,2535,26.0,06,1150467,1908676,41.905308808,-87.722726125,"(41.905308808, -87.722726125)",23
24,JE306138,07/18/2021 02:00:00 AM,066XX S KEDZIE AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,GAS STATION,N,N,831,17.0,04B,1156198,1860211,41.772201212,-87.702980719,"(41.772201212, -87.702980719)",66
25,JE306088,07/18/2021 10:23:00 AM,0000X E CHICAGO AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,RESTAURANT,N,N,1833,42.0,10,1176365,1905732,41.896685065999996,-87.627683859,"(41.896685066, -87.627683859)",8
26,JE310271,07/18/2021 12:00:00 AM,007XX W WALNUT ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1214,27.0,06,1171098,1901877,41.886223947,-87.647141726,"(41.886223947, -87.647141726)",28
27,JE306059,07/18/2021 09:23:00 PM,011XX W 101ST ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,N,N,2232,34.0,04B,1170595,1837827,41.710474762,-87.650856255,"(41.710474762, -87.650856255)",73
28,JE306077,07/18/2021 09:55:00 PM,028XX S TRIPP AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,1031,22.0,15,1148516,1884780,41.839773271,-87.730509309,"(41.839773271, -87.730509309)",30
29,JE305169,07/18/2021 12:30:00 AM,030XX W 63RD ST,0860,THEFT,RETAIL THEFT,GAS STATION,N,N,823,17.0,06,1157031,1862702,41.779020089,-87.6998599,"(41.779020089, -87.6998599)",66
30,JE305515,07/18/2021 10:15:00 AM,023XX E 71ST ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,VEHICLE NON-COMMERCIAL,Y,N,334,5.0,15,1193026,1858302,41.766142754,-87.568043996,"(41.766142754, -87.568043996)",43
