CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JF138367,02/08/2022 08:00:00 PM,073XX S SEELEY AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,N,N,735,17,03,1163965,1855925,41.76028009,-87.674629385,"(41.76028009, -87.674629385)"
JE459959,11/29/2021 08:25:00 AM,018XX S KEDZIE AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,OTHER (SPECIFY),N,N,1022,24,05,1155320,1890793,41.856139886,-87.705380034,"(41.856139886, -87.705380034)"
JE461005,11/30/2021 08:15:00 AM,049XX W FERDINAND ST,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,N,N,1532,37,04B,1143374,1902879,41.889536768,-87.74892636,"(41.889536768, -87.74892636)"
JE462362,11/30/2021 09:00:00 AM,065XX S MARSHFIELD AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,725,15,08A,1166448,1861413,41.775287356,-87.66537291,"(41.775287356, -87.66537291)"
JE363015,09/05/2021 10:53:00 PM,033XX W POTOMAC AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,N,N,1422,26,15,1153905,1908453,41.904629027,-87.71010311,"(41.904629027, -87.71010311)"
JE362421,09/05/2021 12:07:00 PM,078XX S SANGAMON ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,N,Y,621,17,04A,1171335,1852826,41.751617999,-87.647708692,"(41.751617999, -87.647708692)"
JE188589,04/03/2021 04:30:00 PM,093XX S EGGLESTON AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,N,N,2223,21,04B,1174930,1842998,41.724569325,-87.634827069,"(41.724569325, -87.634827069)"
JE181285,03/26/2021 05:30:00 PM,016XX N WASHTENAW AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,Y,N,1421,1,07,1158120,1910764,41.910885524,-87.694556944,"(41.910885524, -87.694556944)"
JE464446,11/30/2021 02:55:00 PM,022XX W JACKSON BLVD,0560,ASSAULT,SIMPLE,SCHOOL - PUBLIC BUILDING,N,N,1225,27,08A,1161324,1898653,41.877585867,-87.683123746,"(41.877585867, -87.683123746)"
JE461729,11/30/2021 05:29:00 PM,052XX S DREXEL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,233,5,08B,1183138,1870244,41.799148375,-87.603915236,"(41.799148375, -87.603915236)"
JE461615,11/30/2021 02:00:00 PM,040XX N KEYSTONE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,N,Y,1722,39,26,1148566,1926636,41.95462957,-87.729244355,"(41.95462957, -87.729244355)"
JE362634,09/05/2021 03:40:00 PM,004XX S STATE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,Y,N,113,4,14,1176436,1898416,41.876607964,-87.627644063,"(41.876607964, -87.627644063)"
JE190405,04/03/2021 11:00:00 PM,001XX W KINZIE ST,0870,THEFT,POCKET-PICKING,BAR OR TAVERN,N,N,1831,42,06,1174955,1902986,41.8891816,-87.632944823,"(41.8891816, -87.632944823)"
JE362352,09/05/2021 10:30:00 AM,082XX S JUSTINE ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,N,Y,614,21,26,1167435,1850172,41.744419445,-87.662076236,"(41.744419445, -87.662076236)"
JE188536,04/03/2021 06:30:00 PM,110XX S LOWE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,Y,2233,34,14,1173944,1831616,41.693357357,-87.638775051,"(41.693357357, -87.638775051)"
JF105245,01/03/2022 12:00:00 AM,042XX W DIVISION ST,0820,THEFT,$500 AND UNDER,STREET,N,N,1111,37,06,1147829,1907660,41.902571918,-87.732442585,"(41.902571918, -87.732442585)"
JE462302,11/30/2021 11:00:00 AM,010XX N WESTERN AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1212,1,06,1160222,1906734,41.89978367,-87.686946492,"(41.89978367, -87.686946492)"
JE431146,11/01/2021 05:30:00 PM,014XX E 79TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,N,N,411,8,14,1187313,1852899,41.751454001,-87.589155158,"(41.751454001, -87.589155158)"
JE220685,05/05/2021 08:00:00 AM,016XX E 68TH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,332,5,11,1188490,1860221,41.771518196,-87.584608544,"(41.771518196, -87.584608544)"
JF137724,02/08/2022 12:00:00 PM,062XX S CAMPBELL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,825,16,14,1160774,1863263,41.780483067,-87.686122155,"(41.780483067, -87.686122155)"
JE188279,04/03/2021 02:40:00 PM,031XX N AVONDALE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ATHLETIC CLUB,N,N,1411,33,14,1154989,1920404,41.937401863,-87.705800003,"(41.937401863, -87.705800003)"
JE364639,09/05/2021 03:00:00 AM,054XX W FULLERTON AVE,0460,BATTERY,SIMPLE,TAVERN / LIQUOR STORE,N,N,2515,30,08B,1139781,1915426,41.924033587,-87.76181455,"(41.924033587, -87.76181455)"
JE188519,04/03/2021 05:52:00 PM,049XX W SUPERIOR ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,1531,37,15,1143347,1904516,41.894029393,-87.748984575,"(41.894029393, -87.748984575)"
JE430574,11/01/2021 06:35:00 PM,011XX W 79TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,N,N,612,17,14,1170236,1852419,41.750525098,-87.651747821,"(41.750525098, -87.651747821)"
JF157527,02/27/2022 09:37:00 AM,0000X W TERMINAL ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,Y,N,1653,41,26,1101811,1934419,41.976762981,-87.900983721,"(41.976762981, -87.900983721)"
JE187879,04/03/2021 03:43:00 AM,034XX W ROOSEVELT RD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,1021,24,15,1153720,1894499,41.866341527,-87.711154301,"(41.866341527, -87.711154301)"
JE193437,04/01/2021 05:00:00 PM,002XX N CLARK ST,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE, MOTOR VEHICLE",COMMERCIAL / BUSINESS OFFICE,N,N,122,42,11,1175498,1901865,41.886093334,-87.630984425,"(41.886093334, -87.630984425)"
JE362080,09/05/2021 03:00:00 AM,013XX W HASTINGS ST,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,N,N,1233,25,04B,1167650,1893851,41.864274935,-87.660034714,"(41.864274935, -87.660034714)"
JE460161,11/29/2021 11:40:00 AM,083XX S BUFFALO AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,SIDEWALK,N,Y,424,10,04B,1199593,1850204,41.74375846,-87.544246407,"(41.74375846, -87.544246407)"
JE464935,11/12/2021 10:00:00 AM,080XX S ALBANY AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,N,N,835,18,11,1157108,1851211,41.747485462,-87.699887835,"(41.747485462, -87.699887835)"
JE432889,11/01/2021 05:30:00 PM,049XX W MELROSE ST,0560,ASSAULT,SIMPLE,ALLEY,N,N,1634,31,08A,1142942,1921156,41.939698873,-87.750056387,"(41.939698873, -87.750056387)"
JE461444,11/30/2021 02:00:00 PM,001XX W 79TH ST,0810,THEFT,OVER $500,DEPARTMENT STORE,N,N,623,17,06,1176766,1852607,41.75089655,-87.627813307,"(41.75089655, -87.627813307)"
JE232776,05/17/2021 07:00:00 AM,069XX N SHERIDAN RD,0460,BATTERY,SIMPLE,APARTMENT,N,N,2431,49,08B,1166857,1945941,42.007229555,-87.661447148,"(42.007229555, -87.661447148)"
JE188686,04/03/2021 09:01:00 PM,021XX W ADAMS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,Y,Y,1223,27,08B,1161999,1899054,41.878672187,-87.680634127,"(41.878672187, -87.680634127)"
JE188272,04/03/2021 02:12:00 PM,075XX N SHERIDAN RD,0890,THEFT,FROM BUILDING,APARTMENT,N,N,2422,49,06,1165634,1950058,42.018552917,-87.665828657,"(42.018552917, -87.665828657)"
JE461543,11/30/2021 03:45:00 PM,005XX W DIVISION ST,0560,ASSAULT,SIMPLE,STREET,N,N,1823,27,08A,1172537,1908272,41.903740503,-87.641668112,"(41.903740503, -87.641668112)"
JE430404,11/01/2021 04:21:00 PM,065XX S ASHLAND AVE,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,STREET,Y,N,725,16,26,1166795,1861401,41.775247024,-87.664101191,"(41.775247024, -87.664101191)"
JE430758,11/01/2021 09:41:00 PM,039XX W 67TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,833,13,08B,1151249,1859550,41.770485427,-87.721139735,"(41.770485427, -87.721139735)"
JE188397,04/03/2021 04:00:00 PM,036XX W 26TH ST,0820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,N,N,1032,22,06,1152705,1886489,41.844381272,-87.715092209,"(41.844381272, -87.715092209)"
JE188224,04/03/2021 01:35:00 PM,089XX S MORGAN ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,2222,21,15,1171215,1845442,41.731357924,-87.648363814,"(41.731357924, -87.648363814)"
JE187867,04/03/2021 02:58:00 AM,014XX W GREGORY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,2013,48,08B,1165341,1936944,41.982574075,-87.667282235,"(41.982574075, -87.667282235)"
JE190531,04/03/2021 11:00:00 PM,036XX N SHEFFIELD AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,ATM (AUTOMATIC TELLER MACHINE),N,N,1923,44,03,1168954,1924442,41.948190326,-87.654358906,"(41.948190326, -87.654358906)"
JE188242,04/03/2021 12:45:00 PM,046XX W NORTH AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,DEPARTMENT STORE,Y,N,2533,37,18,1145011,1910225,41.909664252,-87.742728815,"(41.909664252, -87.742728815)"
JE461889,11/30/2021 09:44:00 PM,090XX S STONY ISLAND AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,STREET,Y,N,413,8,15,1188493,1845354,41.730721694,-87.585071496,"(41.730721694, -87.585071496)"
JE464837,08/15/2021 10:00:00 AM,017XX W PRYOR AVE,0810,THEFT,OVER $500,SCHOOL - PUBLIC GROUNDS,N,N,2212,19,06,1166533,1831078,41.692041778,-87.665923635,"(41.692041778, -87.665923635)"
JE462716,11/30/2021 03:25:00 PM,037XX W AINSLIE ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,1712,39,04A,1150707,1932303,41.970138529,-87.721224823,"(41.970138529, -87.721224823)"
JF142307,01/20/2022 02:50:00 PM,050XX N LINCOLN AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,N,2031,40,26,1158752,1933529,41.973341197,-87.691609112,"(41.973341197, -87.691609112)"
JE188223,04/03/2021 01:42:00 PM,012XX N KOSTNER AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,N,N,2534,37,04B,1146819,1907714,41.902739453,-87.736151141,"(41.902739453, -87.736151141)"
JE188129,04/03/2021 11:40:00 AM,023XX W LOGAN BLVD,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1432,32,06,1160418,1917765,41.930049492,-87.685920733,"(41.930049492, -87.685920733)"
JE188297,04/03/2021 02:08:00 PM,076XX S CICERO AVE,0330,ROBBERY,AGGRAVATED,RESTAURANT,N,N,833,18,03,1145727,1853720,41.754592961,-87.741528537,"(41.754592961, -87.741528537)"
JE363926,09/05/2021 12:38:00 PM,074XX S CLYDE AVE,0810,THEFT,OVER $500,RESIDENCE,N,N,333,7,06,1191506,1856149,41.760271725,-87.573684925,"(41.760271725, -87.573684925)"
