CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE178371,03/23/2021 06:28:00 PM,095XX S CONSTANCE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,N,431,7,08A,1190183,1842108,41.721773858,-87.578984755,"(41.721773858, -87.578984755)"
JE239576,05/23/2021 04:50:00 AM,028XX W LOGAN BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1414,32,08B,1157053,1917160,41.928458385,-87.698302742,"(41.928458385, -87.698302742)"
JE177564,03/23/2021 11:25:00 AM,005XX N Michigan Ave,0810,THEFT,OVER $500,SIDEWALK,N,N,1834,42,06,1177337,1904039,41.892017399,-87.624165306,"(41.892017399, -87.624165306)"
JE177847,03/23/2021 08:00:00 PM,105XX S INDIANAPOLIS AVE,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,432,10,06,1204873,1835598,41.703544122,-87.525402868,"(41.703544122, -87.525402868)"
JF163814,02/07/2022 12:00:00 AM,018XX N KARLOV AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,2534,35,26,1148759,1911948,41.914320689,-87.728915522,"(41.914320689, -87.728915522)"
JE177294,03/23/2021 12:05:00 PM,029XX N CLYBOURN AVE,0560,ASSAULT,SIMPLE,RESIDENCE - PORCH / HALLWAY,N,N,1931,32,08A,1161568,1919514,41.934824952,-87.681645924,"(41.934824952, -87.681645924)"
JF119226,01/20/2022 07:00:00 PM,016XX S JEFFERSON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,N,N,1235,11,14,1172595,1892211,41.859666796,-87.641930358,"(41.859666796, -87.641930358)"
JE177345,03/23/2021 04:00:00 AM,054XX S WELLS ST,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,N,N,935,3,03,1175527,1869022,41.795968923,-87.631862952,"(41.795968923, -87.631862952)"
JE177931,03/23/2021 11:58:00 PM,010XX W 76TH ST,0460,BATTERY,SIMPLE,APARTMENT,N,N,612,17,08B,1170514,1854419,41.756007313,-87.650670947,"(41.756007313, -87.650670947)"
JE176660,03/22/2021 06:44:00 PM,071XX S JEFFERY BLVD,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,N,Y,333,5,04A,1190784,1857880,41.765039197,-87.57627519,"(41.765039197, -87.57627519)"
JE180703,03/23/2021 12:00:00 PM,033XX W 60TH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,823,23,11,1155111,1864638,41.784371358,-87.706847149,"(41.784371358, -87.706847149)"
JE269932,06/17/2021 09:19:00 PM,007XX S KEDZIE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,Y,Y,1134,24,08B,1155142,1896747,41.872481878,-87.705873659,"(41.872481878, -87.705873659)"
